gml_id,tur,ad,geojson
bursa_park.1,PARK,LEYLAK PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.979037502,40.214850146],[28.97903441,40.214508272],[28.978730209,40.214645804],[28.978596369,40.214637028],[28.978473518,40.214635944],[28.978347679,40.214643605],[28.978316941,40.214832642],[28.978438035,40.214934703],[28.978693397,40.214937899],[28.978918067,40.214940805],[28.97894136,40.214939323],[28.97896381,40.214934334],[28.978984526,40.214926037],[28.97900269,40.214914759],[28.97901758,40.214900947],[28.979028609,40.214885148],[28.979035337,40.214867988],[28.979037502,40.214850146]]]]}"
bursa_park.2,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.953160973,40.218329625],[28.95482719,40.218235701],[28.954813755,40.218091755],[28.953149976,40.218191635],[28.953160973,40.218329625]]]]}"
bursa_park.266,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.975735459,40.205234678],[28.975842017,40.20545103],[28.975981486,40.205298902],[28.975815404,40.205205938],[28.975735459,40.205234678]]]]}"
bursa_park.3,PARK,YILDIZ ÇİÇEĞİ PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.954344908,40.220093614],[28.954507358,40.219916594],[28.954790023,40.219745921],[28.954348746,40.21977522],[28.954123508,40.219787594],[28.953914515,40.219799076],[28.953279254,40.219833972],[28.953288916,40.219988905],[28.95342003,40.219959942],[28.953635881,40.220013864],[28.953638222,40.220106499],[28.953858528,40.220102483],[28.954067231,40.220098678],[28.954344908,40.220093614]]]]}"
bursa_park.4,PARK,MENEKŞE PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.974088784,40.216771597],[28.974085794,40.216668414],[28.974177656,40.216664419],[28.974177658,40.216664257],[28.974180878,40.216226454],[28.973420228,40.21615416],[28.973427735,40.216232753],[28.973478167,40.216759474],[28.973480515,40.216821811],[28.974088784,40.216771597]]]]}"
bursa_park.5,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.998247063,40.206406298],[28.998260403,40.20638654],[28.998270466,40.206365672],[28.998277096,40.206344011],[28.998280191,40.206321889],[28.998279706,40.206299642],[28.998275645,40.206277612],[28.998268075,40.206256134],[28.99805549,40.205773638],[28.998045333,40.205754343],[28.99803234,40.205736073],[28.998016687,40.205719075],[28.997998581,40.205703574],[28.997978264,40.205689779],[28.997956007,40.205677872],[28.997932107,40.205668014],[28.997906884,40.205660335],[28.997548326,40.205569178],[28.997539272,40.205567615],[28.997529987,40.20556745],[28.997520843,40.205568689],[28.997512195,40.205571282],[28.997504382,40.205575129],[28.997497707,40.205580079],[28.997492433,40.205585939],[28.997488766,40.20559248],[28.997187079,40.206322105],[28.997153392,40.206403581],[28.997149447,40.20641425],[28.997146366,40.206425087],[28.997144161,40.206436049],[28.99714284,40.206447095],[28.997142409,40.206458182],[28.997142868,40.206469268],[28.997144217,40.206480311],[28.99714645,40.20649127],[28.997219437,40.206789039],[28.99816598,40.206488113],[28.998230646,40.206424644],[28.998247063,40.206406298]]]]}"
bursa_park.6,PARK,MERVE ÇOCUK PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.061127027,40.18011021],[29.061137242,40.180132646],[29.061586417,40.180140634],[29.061616589,40.180124736],[29.061623232,40.179995014],[29.061599994,40.179974477],[29.061149557,40.179943983],[29.061121029,40.179958032],[29.061127027,40.18011021]]]]}"
bursa_park.7,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.967427505,40.222260422],[28.967266012,40.222149566],[28.966925465,40.222480715],[28.967104634,40.222595782],[28.967427505,40.222260422]]]]}"
bursa_park.8,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.967642517,40.221995421],[28.967694724,40.222015582],[28.968036039,40.221540469],[28.967734481,40.221516977],[28.967349541,40.222025587],[28.967456755,40.222098046],[28.967494858,40.222048947],[28.96755579,40.221958626],[28.967642517,40.221995421]]]]}"
bursa_park.9,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.967383578,40.221408664],[28.967813541,40.221432129],[28.967963029,40.220831995],[28.967629153,40.2207631],[28.967314912,40.221296565],[28.967383578,40.221408664]]]]}"
bursa_park.10,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.967711984,40.220691166],[28.968495196,40.220847187],[28.968525813,40.220586755],[28.967791694,40.220456387],[28.967683709,40.220645392],[28.967711984,40.220691166]]]]}"
bursa_park.11,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.970169664,40.222431462],[28.970023618,40.221471002],[28.9696017,40.221622319],[28.969650914,40.222359485],[28.969996437,40.222358148],[28.970169664,40.222431462]]]]}"
