gml_id,ust_katego,alt_katego,ad,geojson
bursa_tarihimekanlar.1,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MURADİYE CAMİİ,"{""type"":""Point"",""coordinates"":[29.046993381,40.192169921]}"
bursa_tarihimekanlar.2,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HAMZABEY CAMİİ,"{""type"":""Point"",""coordinates"":[29.042199313,40.193258508]}"
bursa_tarihimekanlar.3,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ULU CAMİ,"{""type"":""Point"",""coordinates"":[29.062311525,40.184736569]}"
bursa_tarihimekanlar.4,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,BALİBEY HAN,"{""type"":""Point"",""coordinates"":[29.059058481,40.185894374]}"
bursa_tarihimekanlar.5,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,PİRİNÇ HAN,"{""type"":""Point"",""coordinates"":[29.06061906,40.186675566]}"
bursa_tarihimekanlar.6,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİR HAN,"{""type"":""Point"",""coordinates"":[29.06266318,40.185483991]}"
bursa_tarihimekanlar.7,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,FİDAN HAN,"{""type"":""Point"",""coordinates"":[29.064449413,40.186072868]}"
bursa_tarihimekanlar.8,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GEYVE HAN,"{""type"":""Point"",""coordinates"":[29.063349974,40.186106866]}"
bursa_tarihimekanlar.9,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ORHAN BEY CAMİİ,"{""type"":""Point"",""coordinates"":[29.064440027,40.18478764]}"
bursa_tarihimekanlar.10,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YEŞİL TÜRBE,"{""type"":""Point"",""coordinates"":[29.075370664,40.182391592]}"
bursa_tarihimekanlar.11,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİRSULTAN CAMİİ,"{""type"":""Point"",""coordinates"":[29.081528573,40.182095121]}"
bursa_tarihimekanlar.12,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİRSULTAN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.08139666,40.182432417]}"
bursa_tarihimekanlar.13,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİRSULTAN HAMAMI,"{""type"":""Point"",""coordinates"":[29.081588387,40.181690933]}"
bursa_tarihimekanlar.14,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YEŞİL HAMAMI,"{""type"":""Point"",""coordinates"":[29.074586473,40.182377254]}"
bursa_tarihimekanlar.15,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HAMZABEY TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.041922049,40.193281733]}"
bursa_tarihimekanlar.16,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ORHANGAZİ TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.058175281,40.187746227]}"
bursa_tarihimekanlar.17,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,APOLYONT HAN,"{""type"":""Point"",""coordinates"":[29.060493461,40.187366797]}"
bursa_tarihimekanlar.18,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,TUZ HAN,"{""type"":""Point"",""coordinates"":[29.066121353,40.185432673]}"
bursa_tarihimekanlar.19,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KÜTAHYA HAN,"{""type"":""Point"",""coordinates"":[29.067828827,40.185800861]}"
bursa_tarihimekanlar.20,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,TAHIL HAN,"{""type"":""Point"",""coordinates"":[29.069529631,40.186374478]}"
bursa_tarihimekanlar.21,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,İRGANDI KÖPRÜSÜ,"{""type"":""Point"",""coordinates"":[29.071187044,40.182880855]}"
bursa_tarihimekanlar.22,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,1.MURAT CAMİİ,"{""type"":""Point"",""coordinates"":[29.021525692,40.203506035]}"
bursa_tarihimekanlar.23,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YENİ KAPLICA,"{""type"":""Point"",""coordinates"":[29.038924687,40.199841516]}"
bursa_tarihimekanlar.24,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YILDIRIM BEYAZIT CAMİİ,"{""type"":""Point"",""coordinates"":[29.082987264,40.18847724]}"
bursa_tarihimekanlar.25,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YILDIRIM BEYAZIT TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.082892808,40.18903166]}"
bursa_tarihimekanlar.26,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÜFTADE CAMİİ VE TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.058242143,40.18392356]}"
bursa_tarihimekanlar.27,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ESKİ KAPLICA,"{""type"":""Point"",""coordinates"":[29.023799816,40.203322223]}"
bursa_tarihimekanlar.28,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KAPAN HAN,"{""type"":""Point"",""coordinates"":[29.06111294,40.18484457]}"
bursa_tarihimekanlar.29,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MAHKEME HAMAMI,"{""type"":""Point"",""coordinates"":[29.065433312,40.181748285]}"
bursa_tarihimekanlar.30,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HARAÇÇIOĞLU MEDRESESİ,"{""type"":""Point"",""coordinates"":[29.057695124,40.184776256]}"
bursa_tarihimekanlar.31,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÜÇ KUZULAR CAMİİ,"{""type"":""Point"",""coordinates"":[29.057065963,40.178064805]}"
